time,open,high,low,close,volume
2019-11-11,64.575,66.445,64.57,66.44,462646000
2019-11-18,66.45,67,65.1,65.445,456241816
2019-11-25,65.6775,67,65.625,66.8125,301619536
2019-12-02,66.8175,67.75,64.0725,67.6775,460360168
2019-12-09,67.5,68.825,66.2275,68.7875,569633068
2019-12-16,69.25,70.6625,69.245,69.86,733365120
2019-12-23,70.1325,73.4925,70.093375,72.45,386898148
2019-12-30,72.365,75.15,71.305,74.3575,527411924
2020-01-06,73.4475,78.1675,73.1875,77.5825,673808236
2020-01-13,77.91,79.685,77.3875,79.6825,653269728
2020-01-21,79.2975,80.8325,78.9125,79.5775,463685208
2020-01-27,77.515,81.9625,76.22,77.3775,867105292
2020-02-03,76.075,81.305,75.555,80.0075,652538600
2020-02-10,78.545,81.805,78.4625,81.2375,492263628
2020-02-18,78.84,81.1625,77.625,78.2625,477017760
2020-02-24,74.315,76.045,64.0925,68.34,1399072936
2020-03-02,70.57,76,69.43,72.2575,1293800896
2020-03-09,65.9375,71.61,62,69.4925,1617620988
2020-03-16,60.4875,64.77,57,57.31,1620263348
2020-03-23,57.02,64.67,53.1525,61.935,1384663252
2020-03-30,62.685,65.6225,59.225,60.3525,837011036
2020-04-06,62.725,67.925,62.345,66.9975,735719384
2020-04-13,67.0775,72.0625,66.4575,70.7,829547248
2020-04-20,69.4875,70.7525,66.3575,70.7425,679387000
2020-04-27,70.45,74.75,69.55,72.2675,790053708
2020-05-04,72.2925,77.5875,71.5793,77.5325,672915872
2020-05-11,77.025,79.922,75.0525,76.9275,834147304
2020-05-18,78.2925,80.2225,77.581025,79.7225,533098760
2020-05-26,80.875,81.06,78.2725,79.485,525861452
2020-06-01,79.4375,82.9375,79.3025,82.875,497963208
2020-06-08,82.5625,88.6925,81.83,84.7,811827156
2020-06-15,83.3125,89.14,83.145,87.43,779940344
2020-06-22,87.835,93.095,87.7875,88.4075,883003492
2020-06-29,88.3125,92.6175,87.82,91.0275,495648064
2020-07-06,92.5,96.3175,92.4675,95.92,564071916
2020-07-13,97.265,99.955,93.8775,96.3275,718601008
2020-07-20,96.41625,99.25,89.145,92.615,665408692
2020-07-27,93.71,106.415,93.2475,106.26,847594436
2020-08-03,108.2,114.4125,107.8925,111.1125,1003410220
2020-08-10,112.6,116.0425,109.106675,114.9075,941897892
2020-08-17,116.0625,124.868,113.962525,124.37,835694820
2020-08-24,128.6975,128.785,123.0525,124.8075,1063638124
2020-08-31,127.58,137.98,110.89,120.96,1168498624
2020-09-08,113.95,120.5,110,112,771441734
2020-09-14,114.72,118.829,106.09,106.84,944934651
2020-09-21,104.54,112.86,103.1,112.28,847212649
2020-09-28,115.01,117.72,112.22,113.02,641240539
2020-10-05,113.91,117,112.25,116.97,548575054
2020-10-12,120.06,125.39,118.15,119.02,881572555
2020-10-19,119.96,120.419,114.28,115.04,519569644
2020-10-26,114.01,117.28,107.72,108.86,684767901
2020-11-02,109.11,119.62,107.32,118.69,609571825
2020-11-09,120.5,121.99,114.13,119.26,589872919
2020-11-16,118.92,120.99,116.81,117.34,389493361
2020-11-23,117.18,117.6202,112.59,116.59,365024101
2020-11-30,116.97,123.78,116.81,122.25,543809225
2020-12-07,122.31,125.95,120.15,122.41,452278651
2020-12-14,122.6,129.58,121.54,126.655,621758148
2020-12-21,125.02,134.405,123.449,131.97,433757134
2020-12-28,133.99,138.789,131.72,132.69,441102271
2021-01-04,133.52,133.6116,126.382,132.05,610791157
2021-01-11,129.19,131.45,126.86,127.14,483029142
2021-01-19,127.78,139.85,126.938,139.07,430065722
2021-01-25,143.07,145.09,130.21,131.96,716990967
2021-02-01,133.75,137.42,130.93,136.76,439303018
2021-02-08,136.03,137.877,133.6921,135.37,345543149
2021-02-16,135.49,136.01,127.41,129.87,363187147
2021-02-22,128.01,129.72,118.39,121.26,685989279
2021-03-01,123.75,128.72,117.57,121.42,663456753
2021-03-08,120.93,123.21,116.21,121.03,586977280
2021-03-15,121.41,127.22,119.675,119.99,626770404
2021-03-22,120.33,124.24,118.92,121.21,488825826
2021-03-29,121.65,124.18,118.86,123,359904082
2021-04-05,123.87,133.04,123.07,132.995,447820438
2021-04-12,132.52,135,130.63,134.16,444178798
2021-04-19,133.51,135.53,131.3001,134.32,421246935
2021-04-26,134.83,137.07,131.065,131.46,501621389
2021-05-03,132.04,134.07,126.7,130.21,453802325
2021-05-10,129.41,129.54,122.25,127.45,514165627
2021-05-17,126.82,128,122.86,125.43,386352101
2021-05-24,126.01,128.32,124.55,124.61,357615057
2021-06-01,125.08,126.16,123.13,125.89,278314493
2021-06-07,126.17,128.46,124.8321,127.35,327048055
2021-06-14,127.82,132.55,127.07,130.46,457142826
2021-06-21,130.3,134.64,129.21,133.11,354155878
2021-06-28,133.41,140,133.35,139.96,321360130
2021-07-06,140.07,145.65,140.07,145.11,418559640
2021-07-12,146.21,150,143.63,146.39,504249326
2021-07-19,143.75,148.7177,141.67,148.56,441563639
2021-07-26,148.27,149.83,142.54,145.86,423323959
2021-08-02,146.36,148.045,145.18,146.14,284559337
2021-08-09,146.2,149.4444,145.3,149.1,299579355
2021-08-16,148.535,151.68,144.5,148.19,429624447
2021-08-23,148.31,150.86,146.83,148.6,272129118
2021-08-30,149,154.98,148.61,154.3,386760934
2021-09-07,154.97,157.26,148.7,148.97,354897433
2021-09-13,150.63,151.42,145.76,146.06,492884912
2021-09-20,143.8,147.4701,141.27,146.92,394033205
2021-09-27,145.47,145.96,139.1101,142.65,441421358
2021-10-04,141.76,144.215,138.27,142.9,382910000
2021-10-11,142.27,144.895,139.2,144.84,354098233
2021-10-18,143.445,150.18,143.16,148.69,340691290
2021-10-25,148.68,153.165,146.4128,149.8,392739936
2021-11-01,148.985,152.43,147.8,151.28,324080278
2021-11-08,151.41,151.57,147.48,149.99,281799848
2021-11-15,150.37,161.02,149.34,160.55,462419283
2021-11-22,161.68,165.7,156.36,156.81,359933163
2021-11-29,159.37,170.3,157.8,161.84,669981566
2021-12-06,164.29,179.63,164.28,179.45,569227705
2021-12-13,181.115,182.13,169.69,171.14,769789942
2021-12-20,168.28,176.8499,167.46,176.28,359176889
2021-12-27,177.085,181.33,177.07,177.57,340248127
2022-01-03,177.83,182.94,171.03,172.17,482162362
2022-01-10,169.08,177.18,168.17,173.07,422655577
2022-01-18,171.51,172.54,162.3,162.41,400253092
2022-01-24,160.02,170.35,154.7,170.33,688670659
2022-01-31,170.16,176.2399,169.51,172.39,458553231
2022-02-07,172.86,176.65,168.04,168.64,412902045
2022-02-14,167.37,173.34,166.19,167.3,364011266
2022-02-22,164.98,166.69,152,164.85,414293767
2022-02-28,163.06,168.91,161.97,163.17,418753837
2022-03-07,163.36,165.02,154.5,154.73,521334165
2022-03-14,151.45,164.48,150.1,163.98,503123638
2022-03-21,163.51,175.28,163.015,174.72,446083607
2022-03-28,172.17,179.61,171.94,174.31,465395123
2022-04-04,174.57,178.49,169.2,170.09,393176709
2022-04-11,168.71,171.27,165.04,165.29,297460188
2022-04-18,163.92,171.53,161.5,161.79,376787780
2022-04-25,161.12,166.2,155.38,157.65,541697170
2022-05-02,156.71,166.48,153.27,157.28,566928216
2022-05-09,154.925,156.74,138.8,147.11,686227375
2022-05-16,145.55,149.77,132.61,137.59,548244690
2022-05-23,137.79,149.68,137.14,149.64,495921758
2022-05-31,149.07,151.74,144.46,145.38,338923395
2022-06-06,147.03,149.8697,137.06,137.13,354396344
2022-06-13,132.87,137.34,129.04,131.56,541006195
2022-06-21,133.42,141.91,133.32,141.66,315960327
2022-06-27,142.695,143.49,133.7737,138.93,373781666
2022-07-05,137.77,147.55,136.93,147.04,278295402
2022-07-11,145.67,150.86,142.1201,150.17,366480107
2022-07-18,150.74,156.28,146.7,154.09,360988692
2022-07-25,154.01,163.63,150.8,162.51,370548915
2022-08-01,161.01,167.19,159.63,165.35,322415021
2022-08-08,166.37,172.17,163.25,172.1,318856922
2022-08-15,171.52,176.15,171.3101,171.52,322647151
2022-08-22,169.69,171.05,163.56,163.62,307194601
2022-08-29,161.145,162.9,154.67,155.81,390398905
2022-09-06,156.47,157.82,152.68,157.37,314169270
2022-09-12,159.59,164.26,148.37,150.7,568337936
2022-09-19,149.31,158.74,148.56,150.43,473543283
2022-09-26,149.66,154.72,138,138.2,577537048
2022-10-03,138.21,147.54,137.685,140.09,435940423
2022-10-10,140.42,144.52,134.37,138.38,424188362
2022-10-17,141.065,147.8479,140.27,147.27,397216487
2022-10-24,147.185,157.5,144.13,155.74,513092901
2022-10-31,153.155,155.45,134.38,138.38,510660451
2022-11-07,137.11,150.01,134.5933,149.7,461034592
2022-11-14,148.97,153.59,146.15,151.29,382679685
2022-11-21,150.16,151.83,146.925,148.11,204025457
2022-11-28,145.14,149.13,140.355,147.81,401189067
2022-12-05,147.77,150.9199,140,142.16,341500071
2022-12-12,142.7,149.9692,133.73,134.51,505728804
2022-12-19,135.11,136.81,129.64,131.86,384620427
2022-12-27,131.38,131.41,125.87,129.93,307184140
2023-01-03,130.28,130.9,124.17,129.62,369948527
2023-01-09,130.465,134.92,128.12,134.76,333335284
2023-01-17,134.83,138.61,133.77,137.87,271823466
2023-01-23,138.12,147.23,137.9,145.93,338655715
2023-01-30,144.955,157.38,141.32,154.5,480249683
2023-02-06,152.575,155.23,149.22,151.01,330758787
2023-02-13,150.952,156.33,150.85,152.55,316887898
2023-02-21,150.2,151.3,145.7202,146.71,213742390
2023-02-27,147.71,151.11,143.9,151.03,274036517
2023-03-06,153.785,156.3,147.6096,148.5,313350829
2023-03-13,147.805,156.74,147.7,155,410519933
2023-03-20,155.07,162.14,154.15,160.25,350159914
2023-03-27,159.94,165,155.98,164.9,267939590
2023-04-03,164.27,166.84,161.8,164.66,200156349
2023-04-10,161.42,166.32,159.78,165.21,263326290
2023-04-17,165.09,168.16,164.03,165.02,249953109
2023-04-24,165,169.85,162.8,169.68,256340620
2023-05-01,169.28,174.3,164.31,173.57,360723248
2023-05-08,172.48,174.59,171,172.57,250061982
2023-05-15,173.16,176.39,170.4201,175.16,258634688
2023-05-22,173.98,175.77,170.52,175.43,250354916
2023-05-30,176.96,181.78,176.57,180.95,286488411
2023-06-05,182.63,184.951,177.32,180.96,347854340
2023-06-12,181.27,186.99,180.97,184.92,333836397
2023-06-20,184.41,187.56,182.5901,186.68,203677112
2023-06-26,186.83,194.48,185.23,193.97,281596832
2023-07-03,193.78,193.88,189.2,190.68,170349466
2023-07-10,189.26,191.7,186.6,190.69,250269110
2023-07-17,191.9,198.23,191.23,191.94,310914135
2023-07-24,193.41,197.2,192.25,195.83,226011789
2023-07-31,196.06,196.73,181.92,181.99,302694989
2023-08-07,182.13,183.13,176.55,177.79,332501087
2023-08-14,177.97,179.69,171.96,174.49,261498109
2023-08-21,175.07,181.55,173.735,178.61,247514268
2023-08-28,180.09,189.92,178.545,189.46,264199503
2023-09-05,188.28,189.98,173.54,178.18,305126712
2023-09-11,180.07,180.3,173.58,175.01,403746390
2023-09-18,176.48,179.695,173.86,174.79,297395196
2023-09-25,174.2,176.97,167.62,171.21,285838995
